0.000000000000000000e+00,4.300000000000000000e+01,4.500000000000000000e+01
0.000000000000000000e+00,4.300000000000000000e+01,4.600000000000000000e+01
0.000000000000000000e+00,4.300000000000000000e+01,4.700000000000000000e+01
0.000000000000000000e+00,4.300000000000000000e+01,3.600000000000000000e+01
0.000000000000000000e+00,4.300000000000000000e+01,4.800000000000000000e+01
0.000000000000000000e+00,4.300000000000000000e+01,5.000000000000000000e+01
0.000000000000000000e+00,4.300000000000000000e+01,5.100000000000000000e+01
0.000000000000000000e+00,4.300000000000000000e+01,5.200000000000000000e+01
0.000000000000000000e+00,4.300000000000000000e+01,5.300000000000000000e+01
0.000000000000000000e+00,4.300000000000000000e+01,5.400000000000000000e+01
0.000000000000000000e+00,4.300000000000000000e+01,5.500000000000000000e+01
0.000000000000000000e+00,4.300000000000000000e+01,5.600000000000000000e+01
0.000000000000000000e+00,4.300000000000000000e+01,5.700000000000000000e+01
0.000000000000000000e+00,4.300000000000000000e+01,5.800000000000000000e+01
0.000000000000000000e+00,4.300000000000000000e+01,5.900000000000000000e+01
0.000000000000000000e+00,4.300000000000000000e+01,6.000000000000000000e+01
0.000000000000000000e+00,4.300000000000000000e+01,4.900000000000000000e+01
0.000000000000000000e+00,4.300000000000000000e+01,3.500000000000000000e+01
0.000000000000000000e+00,4.300000000000000000e+01,3.400000000000000000e+01
0.000000000000000000e+00,4.300000000000000000e+01,3.300000000000000000e+01
0.000000000000000000e+00,4.300000000000000000e+01,8.000000000000000000e+00
0.000000000000000000e+00,4.300000000000000000e+01,9.000000000000000000e+00
0.000000000000000000e+00,4.300000000000000000e+01,1.000000000000000000e+01
0.000000000000000000e+00,4.300000000000000000e+01,1.100000000000000000e+01
0.000000000000000000e+00,4.300000000000000000e+01,1.200000000000000000e+01
0.000000000000000000e+00,4.300000000000000000e+01,1.300000000000000000e+01
0.000000000000000000e+00,4.300000000000000000e+01,1.400000000000000000e+01
0.000000000000000000e+00,4.300000000000000000e+01,1.500000000000000000e+01
0.000000000000000000e+00,4.300000000000000000e+01,1.600000000000000000e+01
0.000000000000000000e+00,4.300000000000000000e+01,1.700000000000000000e+01
0.000000000000000000e+00,4.300000000000000000e+01,1.800000000000000000e+01
0.000000000000000000e+00,4.300000000000000000e+01,1.900000000000000000e+01
0.000000000000000000e+00,4.300000000000000000e+01,2.000000000000000000e+01
0.000000000000000000e+00,4.300000000000000000e+01,2.100000000000000000e+01
0.000000000000000000e+00,4.300000000000000000e+01,2.200000000000000000e+01
0.000000000000000000e+00,4.300000000000000000e+01,2.300000000000000000e+01
0.000000000000000000e+00,4.300000000000000000e+01,2.400000000000000000e+01
0.000000000000000000e+00,4.300000000000000000e+01,2.500000000000000000e+01
0.000000000000000000e+00,4.300000000000000000e+01,2.600000000000000000e+01
0.000000000000000000e+00,4.300000000000000000e+01,2.700000000000000000e+01
0.000000000000000000e+00,4.300000000000000000e+01,2.800000000000000000e+01
0.000000000000000000e+00,4.300000000000000000e+01,2.900000000000000000e+01
0.000000000000000000e+00,4.300000000000000000e+01,3.000000000000000000e+01
0.000000000000000000e+00,4.300000000000000000e+01,3.100000000000000000e+01
0.000000000000000000e+00,4.300000000000000000e+01,3.200000000000000000e+01
0.000000000000000000e+00,4.200000000000000000e+01,1.400000000000000000e+01
0.000000000000000000e+00,4.200000000000000000e+01,1.300000000000000000e+01
0.000000000000000000e+00,4.200000000000000000e+01,1.200000000000000000e+01
0.000000000000000000e+00,4.200000000000000000e+01,1.100000000000000000e+01
0.000000000000000000e+00,4.000000000000000000e+01,2.700000000000000000e+01
0.000000000000000000e+00,4.000000000000000000e+01,2.800000000000000000e+01
0.000000000000000000e+00,4.000000000000000000e+01,2.900000000000000000e+01
0.000000000000000000e+00,4.000000000000000000e+01,4.900000000000000000e+01
0.000000000000000000e+00,4.000000000000000000e+01,5.000000000000000000e+01
0.000000000000000000e+00,4.000000000000000000e+01,5.100000000000000000e+01
0.000000000000000000e+00,4.000000000000000000e+01,5.200000000000000000e+01
0.000000000000000000e+00,4.000000000000000000e+01,5.300000000000000000e+01
0.000000000000000000e+00,4.000000000000000000e+01,5.400000000000000000e+01
0.000000000000000000e+00,4.000000000000000000e+01,5.500000000000000000e+01
0.000000000000000000e+00,4.000000000000000000e+01,5.600000000000000000e+01
0.000000000000000000e+00,4.000000000000000000e+01,2.600000000000000000e+01
0.000000000000000000e+00,4.000000000000000000e+01,5.700000000000000000e+01
0.000000000000000000e+00,4.000000000000000000e+01,5.900000000000000000e+01
0.000000000000000000e+00,4.000000000000000000e+01,6.000000000000000000e+01
0.000000000000000000e+00,4.000000000000000000e+01,6.100000000000000000e+01
0.000000000000000000e+00,4.100000000000000000e+01,-1.000000000000000000e+00
0.000000000000000000e+00,4.100000000000000000e+01,0.000000000000000000e+00
0.000000000000000000e+00,4.100000000000000000e+01,1.000000000000000000e+00
0.000000000000000000e+00,4.100000000000000000e+01,2.000000000000000000e+00
0.000000000000000000e+00,4.100000000000000000e+01,3.000000000000000000e+00
0.000000000000000000e+00,4.100000000000000000e+01,4.000000000000000000e+00
0.000000000000000000e+00,4.100000000000000000e+01,5.000000000000000000e+00
0.000000000000000000e+00,4.100000000000000000e+01,6.000000000000000000e+00
0.000000000000000000e+00,4.000000000000000000e+01,5.800000000000000000e+01
0.000000000000000000e+00,4.000000000000000000e+01,2.500000000000000000e+01
0.000000000000000000e+00,4.000000000000000000e+01,2.400000000000000000e+01
0.000000000000000000e+00,4.000000000000000000e+01,2.300000000000000000e+01
0.000000000000000000e+00,3.900000000000000000e+01,6.100000000000000000e+01
0.000000000000000000e+00,4.000000000000000000e+01,-1.000000000000000000e+00
0.000000000000000000e+00,4.000000000000000000e+01,0.000000000000000000e+00
0.000000000000000000e+00,4.000000000000000000e+01,1.000000000000000000e+00
0.000000000000000000e+00,4.000000000000000000e+01,2.000000000000000000e+00
0.000000000000000000e+00,4.000000000000000000e+01,3.000000000000000000e+00
0.000000000000000000e+00,4.000000000000000000e+01,4.000000000000000000e+00
0.000000000000000000e+00,4.000000000000000000e+01,5.000000000000000000e+00
0.000000000000000000e+00,4.000000000000000000e+01,6.000000000000000000e+00
0.000000000000000000e+00,4.000000000000000000e+01,7.000000000000000000e+00
0.000000000000000000e+00,4.000000000000000000e+01,8.000000000000000000e+00
0.000000000000000000e+00,4.000000000000000000e+01,9.000000000000000000e+00
0.000000000000000000e+00,4.000000000000000000e+01,1.000000000000000000e+01
0.000000000000000000e+00,4.000000000000000000e+01,1.100000000000000000e+01
0.000000000000000000e+00,4.000000000000000000e+01,1.200000000000000000e+01
0.000000000000000000e+00,4.000000000000000000e+01,1.300000000000000000e+01
0.000000000000000000e+00,4.000000000000000000e+01,1.400000000000000000e+01
0.000000000000000000e+00,4.000000000000000000e+01,1.500000000000000000e+01
0.000000000000000000e+00,4.000000000000000000e+01,1.600000000000000000e+01
0.000000000000000000e+00,4.000000000000000000e+01,1.700000000000000000e+01
0.000000000000000000e+00,4.000000000000000000e+01,1.800000000000000000e+01
0.000000000000000000e+00,4.000000000000000000e+01,1.900000000000000000e+01
0.000000000000000000e+00,4.000000000000000000e+01,2.000000000000000000e+01
0.000000000000000000e+00,4.000000000000000000e+01,2.100000000000000000e+01
0.000000000000000000e+00,4.000000000000000000e+01,2.200000000000000000e+01
0.000000000000000000e+00,4.100000000000000000e+01,7.000000000000000000e+00
0.000000000000000000e+00,4.300000000000000000e+01,6.100000000000000000e+01
0.000000000000000000e+00,4.100000000000000000e+01,8.000000000000000000e+00
0.000000000000000000e+00,4.100000000000000000e+01,1.000000000000000000e+01
0.000000000000000000e+00,4.100000000000000000e+01,5.000000000000000000e+01
0.000000000000000000e+00,4.100000000000000000e+01,5.100000000000000000e+01
0.000000000000000000e+00,4.100000000000000000e+01,5.200000000000000000e+01
0.000000000000000000e+00,4.100000000000000000e+01,5.300000000000000000e+01
0.000000000000000000e+00,4.100000000000000000e+01,5.400000000000000000e+01
0.000000000000000000e+00,4.100000000000000000e+01,5.500000000000000000e+01
0.000000000000000000e+00,4.100000000000000000e+01,5.600000000000000000e+01
0.000000000000000000e+00,4.100000000000000000e+01,5.700000000000000000e+01
0.000000000000000000e+00,4.100000000000000000e+01,5.800000000000000000e+01
0.000000000000000000e+00,4.100000000000000000e+01,5.900000000000000000e+01
0.000000000000000000e+00,4.100000000000000000e+01,6.000000000000000000e+01
0.000000000000000000e+00,4.100000000000000000e+01,4.900000000000000000e+01
0.000000000000000000e+00,4.100000000000000000e+01,6.100000000000000000e+01
0.000000000000000000e+00,4.200000000000000000e+01,0.000000000000000000e+00
0.000000000000000000e+00,4.200000000000000000e+01,1.000000000000000000e+00
0.000000000000000000e+00,4.200000000000000000e+01,2.000000000000000000e+00
0.000000000000000000e+00,4.200000000000000000e+01,3.000000000000000000e+00
0.000000000000000000e+00,4.200000000000000000e+01,4.000000000000000000e+00
0.000000000000000000e+00,4.200000000000000000e+01,5.000000000000000000e+00
0.000000000000000000e+00,4.200000000000000000e+01,6.000000000000000000e+00
0.000000000000000000e+00,4.200000000000000000e+01,7.000000000000000000e+00
0.000000000000000000e+00,4.200000000000000000e+01,8.000000000000000000e+00
0.000000000000000000e+00,4.200000000000000000e+01,9.000000000000000000e+00
0.000000000000000000e+00,4.200000000000000000e+01,1.000000000000000000e+01
0.000000000000000000e+00,4.200000000000000000e+01,-1.000000000000000000e+00
0.000000000000000000e+00,4.100000000000000000e+01,4.800000000000000000e+01
0.000000000000000000e+00,4.100000000000000000e+01,3.700000000000000000e+01
0.000000000000000000e+00,4.100000000000000000e+01,3.600000000000000000e+01
0.000000000000000000e+00,4.100000000000000000e+01,1.100000000000000000e+01
0.000000000000000000e+00,4.100000000000000000e+01,1.200000000000000000e+01
0.000000000000000000e+00,4.100000000000000000e+01,1.300000000000000000e+01
0.000000000000000000e+00,4.100000000000000000e+01,1.400000000000000000e+01
0.000000000000000000e+00,4.100000000000000000e+01,1.500000000000000000e+01
0.000000000000000000e+00,4.100000000000000000e+01,1.600000000000000000e+01
0.000000000000000000e+00,4.100000000000000000e+01,1.700000000000000000e+01
0.000000000000000000e+00,4.100000000000000000e+01,1.800000000000000000e+01
0.000000000000000000e+00,4.100000000000000000e+01,1.900000000000000000e+01
0.000000000000000000e+00,4.100000000000000000e+01,2.000000000000000000e+01
0.000000000000000000e+00,4.100000000000000000e+01,2.100000000000000000e+01
0.000000000000000000e+00,4.100000000000000000e+01,2.200000000000000000e+01
0.000000000000000000e+00,4.100000000000000000e+01,2.300000000000000000e+01
0.000000000000000000e+00,4.100000000000000000e+01,2.400000000000000000e+01
0.000000000000000000e+00,4.100000000000000000e+01,2.500000000000000000e+01
0.000000000000000000e+00,4.100000000000000000e+01,2.600000000000000000e+01
0.000000000000000000e+00,4.100000000000000000e+01,2.700000000000000000e+01
0.000000000000000000e+00,4.100000000000000000e+01,2.800000000000000000e+01
0.000000000000000000e+00,4.100000000000000000e+01,2.900000000000000000e+01
0.000000000000000000e+00,4.100000000000000000e+01,3.000000000000000000e+01
0.000000000000000000e+00,4.100000000000000000e+01,3.100000000000000000e+01
0.000000000000000000e+00,4.100000000000000000e+01,3.200000000000000000e+01
0.000000000000000000e+00,4.100000000000000000e+01,3.300000000000000000e+01
0.000000000000000000e+00,4.100000000000000000e+01,3.400000000000000000e+01
0.000000000000000000e+00,4.100000000000000000e+01,3.500000000000000000e+01
0.000000000000000000e+00,4.100000000000000000e+01,9.000000000000000000e+00
0.000000000000000000e+00,3.900000000000000000e+01,6.000000000000000000e+01
0.000000000000000000e+00,4.400000000000000000e+01,-1.000000000000000000e+00
0.000000000000000000e+00,4.400000000000000000e+01,1.000000000000000000e+00
0.000000000000000000e+00,4.600000000000000000e+01,1.800000000000000000e+01
0.000000000000000000e+00,4.600000000000000000e+01,1.900000000000000000e+01
0.000000000000000000e+00,4.600000000000000000e+01,2.000000000000000000e+01
0.000000000000000000e+00,4.600000000000000000e+01,2.100000000000000000e+01
0.000000000000000000e+00,4.600000000000000000e+01,2.200000000000000000e+01
0.000000000000000000e+00,4.600000000000000000e+01,2.300000000000000000e+01
0.000000000000000000e+00,4.600000000000000000e+01,2.400000000000000000e+01
0.000000000000000000e+00,4.600000000000000000e+01,2.500000000000000000e+01
0.000000000000000000e+00,4.600000000000000000e+01,2.600000000000000000e+01
0.000000000000000000e+00,4.600000000000000000e+01,2.700000000000000000e+01
0.000000000000000000e+00,4.600000000000000000e+01,2.800000000000000000e+01
0.000000000000000000e+00,4.600000000000000000e+01,1.700000000000000000e+01
0.000000000000000000e+00,4.600000000000000000e+01,2.900000000000000000e+01
0.000000000000000000e+00,4.600000000000000000e+01,3.100000000000000000e+01
0.000000000000000000e+00,4.600000000000000000e+01,3.200000000000000000e+01
0.000000000000000000e+00,4.600000000000000000e+01,3.300000000000000000e+01
0.000000000000000000e+00,4.600000000000000000e+01,3.400000000000000000e+01
0.000000000000000000e+00,4.600000000000000000e+01,3.500000000000000000e+01
0.000000000000000000e+00,4.600000000000000000e+01,3.600000000000000000e+01
0.000000000000000000e+00,4.600000000000000000e+01,3.700000000000000000e+01
0.000000000000000000e+00,4.600000000000000000e+01,3.800000000000000000e+01
0.000000000000000000e+00,4.600000000000000000e+01,3.900000000000000000e+01
0.000000000000000000e+00,4.600000000000000000e+01,4.000000000000000000e+01
0.000000000000000000e+00,4.600000000000000000e+01,4.100000000000000000e+01
0.000000000000000000e+00,4.600000000000000000e+01,3.000000000000000000e+01
0.000000000000000000e+00,4.600000000000000000e+01,4.200000000000000000e+01
0.000000000000000000e+00,4.600000000000000000e+01,1.600000000000000000e+01
0.000000000000000000e+00,4.600000000000000000e+01,1.400000000000000000e+01
0.000000000000000000e+00,4.500000000000000000e+01,5.300000000000000000e+01
0.000000000000000000e+00,4.500000000000000000e+01,5.400000000000000000e+01
0.000000000000000000e+00,4.500000000000000000e+01,5.500000000000000000e+01
0.000000000000000000e+00,4.500000000000000000e+01,5.600000000000000000e+01
0.000000000000000000e+00,4.500000000000000000e+01,5.700000000000000000e+01
0.000000000000000000e+00,4.500000000000000000e+01,5.800000000000000000e+01
0.000000000000000000e+00,4.500000000000000000e+01,5.900000000000000000e+01
0.000000000000000000e+00,4.500000000000000000e+01,6.000000000000000000e+01
0.000000000000000000e+00,4.500000000000000000e+01,6.100000000000000000e+01
0.000000000000000000e+00,4.600000000000000000e+01,-1.000000000000000000e+00
0.000000000000000000e+00,4.600000000000000000e+01,0.000000000000000000e+00
0.000000000000000000e+00,4.600000000000000000e+01,1.500000000000000000e+01
0.000000000000000000e+00,4.600000000000000000e+01,1.000000000000000000e+00
0.000000000000000000e+00,4.600000000000000000e+01,3.000000000000000000e+00
0.000000000000000000e+00,4.600000000000000000e+01,4.000000000000000000e+00
0.000000000000000000e+00,4.600000000000000000e+01,5.000000000000000000e+00
0.000000000000000000e+00,4.600000000000000000e+01,6.000000000000000000e+00
0.000000000000000000e+00,4.600000000000000000e+01,7.000000000000000000e+00
0.000000000000000000e+00,4.600000000000000000e+01,8.000000000000000000e+00
0.000000000000000000e+00,4.600000000000000000e+01,9.000000000000000000e+00
0.000000000000000000e+00,4.600000000000000000e+01,1.000000000000000000e+01
0.000000000000000000e+00,4.600000000000000000e+01,1.100000000000000000e+01
0.000000000000000000e+00,4.600000000000000000e+01,1.200000000000000000e+01
0.000000000000000000e+00,4.600000000000000000e+01,1.300000000000000000e+01
0.000000000000000000e+00,4.600000000000000000e+01,2.000000000000000000e+00
0.000000000000000000e+00,4.600000000000000000e+01,4.300000000000000000e+01
0.000000000000000000e+00,4.600000000000000000e+01,4.400000000000000000e+01
0.000000000000000000e+00,4.600000000000000000e+01,4.500000000000000000e+01
0.000000000000000000e+00,4.700000000000000000e+01,1.200000000000000000e+01
0.000000000000000000e+00,4.700000000000000000e+01,1.300000000000000000e+01
0.000000000000000000e+00,4.700000000000000000e+01,1.400000000000000000e+01
0.000000000000000000e+00,4.700000000000000000e+01,1.500000000000000000e+01
0.000000000000000000e+00,4.700000000000000000e+01,1.600000000000000000e+01
0.000000000000000000e+00,4.700000000000000000e+01,1.700000000000000000e+01
0.000000000000000000e+00,4.700000000000000000e+01,1.800000000000000000e+01
0.000000000000000000e+00,4.700000000000000000e+01,1.900000000000000000e+01
0.000000000000000000e+00,4.700000000000000000e+01,2.000000000000000000e+01
0.000000000000000000e+00,4.700000000000000000e+01,2.100000000000000000e+01
0.000000000000000000e+00,4.700000000000000000e+01,2.200000000000000000e+01
0.000000000000000000e+00,4.700000000000000000e+01,1.100000000000000000e+01
0.000000000000000000e+00,4.700000000000000000e+01,2.300000000000000000e+01
0.000000000000000000e+00,4.700000000000000000e+01,2.500000000000000000e+01
0.000000000000000000e+00,4.700000000000000000e+01,2.600000000000000000e+01
0.000000000000000000e+00,4.700000000000000000e+01,2.700000000000000000e+01
0.000000000000000000e+00,4.700000000000000000e+01,2.800000000000000000e+01
0.000000000000000000e+00,4.700000000000000000e+01,2.900000000000000000e+01
0.000000000000000000e+00,4.700000000000000000e+01,3.000000000000000000e+01
0.000000000000000000e+00,4.700000000000000000e+01,3.100000000000000000e+01
0.000000000000000000e+00,4.700000000000000000e+01,3.200000000000000000e+01
0.000000000000000000e+00,4.700000000000000000e+01,3.300000000000000000e+01
0.000000000000000000e+00,4.700000000000000000e+01,3.400000000000000000e+01
0.000000000000000000e+00,4.700000000000000000e+01,3.500000000000000000e+01
0.000000000000000000e+00,4.700000000000000000e+01,2.400000000000000000e+01
0.000000000000000000e+00,4.700000000000000000e+01,1.000000000000000000e+01
0.000000000000000000e+00,4.700000000000000000e+01,9.000000000000000000e+00
0.000000000000000000e+00,4.700000000000000000e+01,8.000000000000000000e+00
0.000000000000000000e+00,4.600000000000000000e+01,4.600000000000000000e+01
0.000000000000000000e+00,4.600000000000000000e+01,4.700000000000000000e+01
0.000000000000000000e+00,4.600000000000000000e+01,4.800000000000000000e+01
0.000000000000000000e+00,4.600000000000000000e+01,4.900000000000000000e+01
0.000000000000000000e+00,4.600000000000000000e+01,5.000000000000000000e+01
0.000000000000000000e+00,4.600000000000000000e+01,5.100000000000000000e+01
0.000000000000000000e+00,4.600000000000000000e+01,5.200000000000000000e+01
0.000000000000000000e+00,4.600000000000000000e+01,5.300000000000000000e+01
0.000000000000000000e+00,4.600000000000000000e+01,5.400000000000000000e+01
0.000000000000000000e+00,4.600000000000000000e+01,5.500000000000000000e+01
0.000000000000000000e+00,4.600000000000000000e+01,5.600000000000000000e+01
0.000000000000000000e+00,4.600000000000000000e+01,5.700000000000000000e+01
0.000000000000000000e+00,4.600000000000000000e+01,5.800000000000000000e+01
0.000000000000000000e+00,4.600000000000000000e+01,5.900000000000000000e+01
0.000000000000000000e+00,4.600000000000000000e+01,6.000000000000000000e+01
0.000000000000000000e+00,4.600000000000000000e+01,6.100000000000000000e+01
0.000000000000000000e+00,4.700000000000000000e+01,-1.000000000000000000e+00
0.000000000000000000e+00,4.700000000000000000e+01,0.000000000000000000e+00
0.000000000000000000e+00,4.700000000000000000e+01,1.000000000000000000e+00
0.000000000000000000e+00,4.700000000000000000e+01,2.000000000000000000e+00
0.000000000000000000e+00,4.700000000000000000e+01,3.000000000000000000e+00
0.000000000000000000e+00,4.700000000000000000e+01,4.000000000000000000e+00
0.000000000000000000e+00,4.700000000000000000e+01,5.000000000000000000e+00
0.000000000000000000e+00,4.700000000000000000e+01,6.000000000000000000e+00
0.000000000000000000e+00,4.700000000000000000e+01,7.000000000000000000e+00
0.000000000000000000e+00,4.500000000000000000e+01,5.200000000000000000e+01
0.000000000000000000e+00,4.500000000000000000e+01,5.100000000000000000e+01
0.000000000000000000e+00,4.500000000000000000e+01,5.000000000000000000e+01
0.000000000000000000e+00,4.500000000000000000e+01,4.900000000000000000e+01
0.000000000000000000e+00,4.400000000000000000e+01,3.100000000000000000e+01
0.000000000000000000e+00,4.400000000000000000e+01,3.200000000000000000e+01
0.000000000000000000e+00,4.400000000000000000e+01,3.300000000000000000e+01
0.000000000000000000e+00,4.400000000000000000e+01,3.400000000000000000e+01
0.000000000000000000e+00,4.400000000000000000e+01,3.500000000000000000e+01
0.000000000000000000e+00,4.400000000000000000e+01,3.600000000000000000e+01
0.000000000000000000e+00,4.400000000000000000e+01,3.700000000000000000e+01
0.000000000000000000e+00,4.400000000000000000e+01,3.800000000000000000e+01
0.000000000000000000e+00,4.400000000000000000e+01,3.900000000000000000e+01
0.000000000000000000e+00,4.400000000000000000e+01,4.000000000000000000e+01
0.000000000000000000e+00,4.400000000000000000e+01,4.100000000000000000e+01
0.000000000000000000e+00,4.400000000000000000e+01,3.000000000000000000e+01
0.000000000000000000e+00,4.400000000000000000e+01,4.200000000000000000e+01
0.000000000000000000e+00,4.400000000000000000e+01,4.400000000000000000e+01
0.000000000000000000e+00,4.400000000000000000e+01,4.500000000000000000e+01
0.000000000000000000e+00,4.400000000000000000e+01,4.600000000000000000e+01
0.000000000000000000e+00,4.400000000000000000e+01,4.700000000000000000e+01
0.000000000000000000e+00,4.400000000000000000e+01,4.800000000000000000e+01
0.000000000000000000e+00,4.400000000000000000e+01,4.900000000000000000e+01
0.000000000000000000e+00,4.400000000000000000e+01,5.000000000000000000e+01
0.000000000000000000e+00,4.400000000000000000e+01,5.100000000000000000e+01
0.000000000000000000e+00,4.400000000000000000e+01,5.200000000000000000e+01
0.000000000000000000e+00,4.400000000000000000e+01,5.300000000000000000e+01
0.000000000000000000e+00,4.400000000000000000e+01,5.400000000000000000e+01
0.000000000000000000e+00,4.400000000000000000e+01,4.300000000000000000e+01
0.000000000000000000e+00,4.400000000000000000e+01,2.900000000000000000e+01
0.000000000000000000e+00,4.400000000000000000e+01,2.800000000000000000e+01
0.000000000000000000e+00,4.400000000000000000e+01,2.700000000000000000e+01
0.000000000000000000e+00,4.400000000000000000e+01,2.000000000000000000e+00
0.000000000000000000e+00,4.400000000000000000e+01,3.000000000000000000e+00
0.000000000000000000e+00,4.400000000000000000e+01,4.000000000000000000e+00
0.000000000000000000e+00,4.400000000000000000e+01,5.000000000000000000e+00
0.000000000000000000e+00,4.400000000000000000e+01,6.000000000000000000e+00
0.000000000000000000e+00,4.400000000000000000e+01,7.000000000000000000e+00
0.000000000000000000e+00,4.400000000000000000e+01,8.000000000000000000e+00
0.000000000000000000e+00,4.400000000000000000e+01,9.000000000000000000e+00
0.000000000000000000e+00,4.400000000000000000e+01,1.000000000000000000e+01
0.000000000000000000e+00,4.400000000000000000e+01,1.100000000000000000e+01
0.000000000000000000e+00,4.400000000000000000e+01,1.200000000000000000e+01
0.000000000000000000e+00,4.400000000000000000e+01,1.300000000000000000e+01
0.000000000000000000e+00,4.400000000000000000e+01,1.400000000000000000e+01
0.000000000000000000e+00,4.400000000000000000e+01,1.500000000000000000e+01
0.000000000000000000e+00,4.400000000000000000e+01,1.600000000000000000e+01
0.000000000000000000e+00,4.400000000000000000e+01,1.700000000000000000e+01
0.000000000000000000e+00,4.400000000000000000e+01,1.800000000000000000e+01
0.000000000000000000e+00,4.400000000000000000e+01,1.900000000000000000e+01
0.000000000000000000e+00,4.400000000000000000e+01,2.000000000000000000e+01
